Universities,Gre,Toefl,Cgpa
Princeton University,329,100,9.7
Yale University,320,100,9.1
University of Chicago,317,100,9.6
Johns Hopkins University,313,100,9.7
University of Pennsylvania,320,100,9.7
California Institute of Technology,317,100,8.5
Duke University,315,90,8
Northwestern University,315,90,8.5
Dartmouth College,315,100,8
Brown University,315,90,8
Vanderbilt University,315,100,8
Rice University,325,90,8
Washington University in St. Louis,325,90,8
Cornell University,318,100,8.5
Columbia University,324,100,9
University of Notre Dame,310,100,9
"University of California, Berkeley",320,90,8
"University of California, Los Angeles",320,87,8
Carnegie Mellon University,321,90,9
Emory University,308,90,9
Georgetown University,311,100,8
New York University,316,100,8.5
University of Michigan--Ann Arbor,320,90,8.5
University of Southern California,320,100,9
University of Virginia,316,90,8
University of Florida,305,80,8
University of North Carolina at Chapel Hill,312,100,8
Wake Forest University,300,90,8
Tufts University,321,90,8.08
"University of California, Santa Barbara",300,80,8.5
"University of California, Irvine",300,80,7.5
"University of California, San Diego",322,83,8.5
Boston College,315,100,9.8
University of Rochester,316,100,9.5
"University of California, Davis",322,80,7.5
University of Texas at Austin,315,79,9.575
University of Wisconsin--Madison,314,86,7.5
Boston University,313,84,9.2
University of Illinois Urbana-Champaign,303,90,9.58
William & Mary,318,100,8.54
Brandeis University,308,100,9.5
Case Western Reserve University,328,90,9
Georgia Institute of Technology,320,90,8.25
Northeastern University,314,100,8.08
Tulane University,308,100,8.9
The Ohio State University,327,100,8
University of Georgia,300,80,8
Lehigh University,318,100,7
Purdue University--West Lafayette,306,100,7.5
Rensselaer Polytechnic Institute,302,88,9.5
Villanova University,308,90,7.5
Florida State University,302,80,7.5
Pepperdine University,294,85,7.5
Rutgers University--New Brunswick,310,80,7.5
Santa Clara University,309,100,9.2
"University of Maryland, College Park",305,100,7.5
University of Miami,305,80,7.5
University of Washington,315,92,8
George Washington University,310,100,7.5
Syracuse University,310,100,7.5
"University of Minnesota, Twin Cities",300,79,8
University of Pittsburgh,310,80,7.5
Virginia Tech,305,80,8
Texas A&M University,306,80,7.5
University of Connecticut,301,79,7.5
University of Massachusetts--Amherst,302,80,7.5
Worcester Polytechnic Institute,308,79,8
Yeshiva University,305,80,7.5
American University,300,80,7.5
Fordham University,300,80,7.5
Indiana University--Bloomington,305,79,7.5
North Carolina State University,305,80,8
Southern Methodist University,308,80,8
Baylor University,295,79,7.5
Clemson University,300,80,8
Loyola Marymount University,300,80,7.5
Michigan State University,310,79,7.5
The Pennsylvania State University,304,80,7.5
Stony Brook University--SUNY,305,80,8
Binghamton University--SUNY,305,79,8
Gonzaga University,295,79,7.5
Marquette University,295,79,7.5
Stevens Institute of Technology,305,80,8
"University of California, Santa Cruz",308,83,8
University of Iowa,305,100,7.5
Brigham Young University--Provo,300,90,8
Colorado School of Mines,315,80,8
Elon University,310,80,7.5
Howard University,310,90,7
Texas Christian University,310,80,7
University at Buffalo--SUNY,315,79,7
"University of California, Riverside",300,80,7.5
University of Delaware,300,80,7.5
Auburn University,295,79,7
Clark University,300,90,7
New Jersey Institute of Technology,300,79,7
"University of California, Merced",300,80,7.5
University of Colorado Boulder,305,80,7
University of Illinois--Chicago,300,80,7
University of San Diego,300,85,7
University of South Florida,300,79,7
Drexel University,300,90,7
Miami University--Oxford,300,79,7
Rochester Institute of Technology,320,79,7
Saint Louis University,300,80,7
SUNY College of Environmental Science and Forestry,300,79,7
University of Arizona,308,79,7
University of Denver,300,80,7
University of Oregon,309,88,7
University of San Francisco,300,83,7
University of Utah,300,80,7
Creighton University,300,80,7
Fairfield University,290,80,7
Loyola University Chicago,290,80,7
Rutgers University--Newark,290,79,7
University of South Carolina,300,80,7
"University of Tennessee, Knoxville",300,79,7
Arizona State University,300,80,7
Chapman University,290,79,7
Temple University,290,79,7
University of Kansas,290,79,7
University of Missouri,290,80,7
University of Vermont,300,80,7
Clarkson University,290,80,7
Gallaudet University,290,80,7
The New School,310,90,7
Rutgers University--Camden,290,79,7
